,p_opt,ip_opt,Temp,ip,RRDD,I,p,L,AUDPC,GDUsum,H,HSEN,LeakI,LeakL,R,LAT,ResSpray,CumuLeak,DIS,TOTSITES,Sev,DVS8,RAUPC,GDU,RTinc,SITEmax,RRG,RG,Rc_W,RRLEX,inocp,RcOpt,RcT,RcA,Residual,RcFCur,FungEffcCur,EffRes,FungEffecRes,RcRes,Rc,COFR,Agg,RRSEN,RSEN,RLEX,RDI,REM,FlowRes,RT,RDL,RI
0,14,28,28.342955,28.0,0.0001,28.0,18.992342609651317,0.0,0.0,0.0,2500000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,28.0,2500028.0,1.1199874561404913e-05,0.0,1.1199874561404913e-05,14.342955,14.342955,10000000,0.173,324373.78899999993,3,0.01,10,0.13999999999999999,0.27175538,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.11413725959999999,0.9999944,1,0.002307,5767.5001,0.279998432,0.000100004821661,0.999948211789,0.0,0.0,0.0,4.195825372077694
1,14,28,28.51549365,28.0,0.0001,27.279950215389338,19.160523065206284,4.195825372077694,1.1199874561404913e-05,14.342955,2818601.813076196,5767.5001,0.000100004821661,0.0,0.999948211789,0,0.0,0.000100004821661,32.47582380407769,2824401.789,1.1498301668891094e-05,0.0,1.1498301668891094e-05,14.51549365,14.51549365,10000000,0.173,349895.1664045547,3,0.01,10,0.13999999999999999,0.24345904140000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.102252797388,0.9999884781704629,1,0.002307,6502.514482766784,0.27279635900453175,0.002727995021538934,0.999948211789,0.0,4.195825372077694,0.0004195825372077694,2.7894190825474494
2,14,28,28.6987952,28.0,0.0001,30.745895739661023,19.342488575290044,2.7889995000102417,2.2698176230296007e-05,28.85844865,3161991.402782542,12270.014582766784,0.002827999843199934,0.0004195825372077694,1.999896423578,0,0.0,0.0032475823804077033,35.538039245629676,3174296.9554045545,1.1195562275647416e-05,0.0,1.1195562275647416e-05,14.6987952,14.6987952,10000000,0.173,373382.6881677634,3,0.01,10,0.13999999999999999,0.21339758720000013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08962698662400004,0.9999887609941627,1,0.002307,7294.714266219325,0.30745550186359333,0.0030745895739661025,0.999948211789,0.0,0.0,0.0002788999500010242,2.7556310153003496
3,14,28,28.380982099999997,28.0,0.0001,30.05032844016165,19.02915503906713,5.54435161536059,3.389373850594342e-05,43.55724385,3528076.3135975692,19564.72884898611,0.005902589417166036,0.0006984824872087935,2.999844635367,0,0.0,0.006601071904374829,38.601125762793615,3547679.6435723184,1.0880668392009714e-05,0.0,1.0880668392009714e-05,14.380982099999997,14.380982099999997,10000000,0.173,393822.02007852745,3,0.01,10,0.13999999999999999,0.2655189356000005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11151795295200019,0.999989058994195,1,0.002307,8139.272155469593,0.30049999659343746,0.003005032844016165,0.999948211789,0.0,0.0,0.000554435161536059,3.351114448218317
4,14,28,28.039410249999996,28.0,0.0001,29.34787519212207,18.703522190937935,8.894911628417372,4.477440689795313e-05,57.938225949999996,3913755.4099061824,27704.001004455702,0.008907622261182201,0.0012529176487448526,3.999792847156,0,0.0,0.010160539909927054,42.25274020760537,3941501.6636508456,1.0719960008457398e-05,0.0,1.0719960008457398e-05,14.039410249999996,14.039410249999996,10000000,0.173,410208.61506843806,3,0.01,10,0.13999999999999999,0.32153671900000064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13504542198000025,0.99998920415825,1,0.002307,9029.033830653561,0.29347558357105796,0.0029347875192122074,0.999948211789,0.0,0.0,0.0008894911628417372,3.9632534024180353
5,14,28,28.09629265,28.0,0.0001,28.638467776384918,18.756974606207386,12.857275539672566,5.549436690641053e-05,71.97763619999999,4314930.734414981,36733.03483510926,0.011842409780394409,0.0021424088115865898,4.999741058945,0,0.0,0.013984818591980998,46.50946919359446,4351710.278719284,1.0687629969539766e-05,0.0,1.0687629969539766e-05,14.096292649999999,14.096292649999999,10000000,0.173,421635.23523355497,3,0.01,10,0.13999999999999999,0.3122080054000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13112736226800006,0.9999892213871442,1,0.002307,9954.54530429536,0.28638159093427973,0.002863846777638492,0.999948211789,0.0,0.0,0.0012857275539672566,3.75524626213255
6,14,28,28.17637495,28.0,0.0001,27.922037308752557,18.83274791526252,16.61123607425115,6.61819968759503e-05,86.07392884999999,4726607.3827163875,46687.58013940462,0.0147062565580329,0.0034281363655538463,5.999689270734001,0,0.0,0.018134392923586748,50.5510970466613,4773345.513952838,1.0590286602739471e-05,0.0,1.0590286602739471e-05,14.17637495,14.17637495,10000000,0.173,427385.1456753875,3,0.01,10,0.13999999999999999,0.29907450820000003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12561129344400002,0.9999893051078046,1,0.002307,10904.283331926705,0.2792173868557366,0.0027922037308752558,0.999948211789,0.0,0.0,0.001661123607425115,3.5072857115002805
7,14,28,28.0520724,28.0,0.0001,27.198514280088418,18.7153944419436,20.116860662144006,7.677228347868977e-05,100.25030379999998,5143084.45855675,57591.86347133132,0.017498460288908155,0.005089259972978962,6.999637482523001,0,0.0,0.022587720261887115,54.33760014501731,5200730.6596282255,1.0448070415725324e-05,0.0,1.0448070415725324e-05,14.0520724,14.0520724,10000000,0.173,427016.7227342658,3,0.01,10,0.13999999999999999,0.3194601264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.134173253088,0.999989434934133,1,0.002307,11865.095945890422,0.2719822692599356,0.002719851428008842,0.999948211789,0.0,0.0,0.0020116860662144007,3.6492745848861903
8,14,28,28.1343805,28.0,0.0001,26.467828486131346,18.79293687938266,23.76412356096398,8.72203538944151e-05,114.30237619999998,5558232.164088272,69456.95941722175,0.020218311716916997,0.0071009460391933624,7.999585694312001,0,0.0,0.02731925775611036,58.25885699916344,5627747.382362492,1.035207393667815e-05,0.0,1.035207393667815e-05,14.134380499999999,14.134380499999999,10000000,0.173,420424.51572948444,3,0.01,10,0.13999999999999999,0.30596159800000017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12850387116000006,0.9999895185655001,1,0.002307,12822.841702551643,0.26467551065320716,0.0026467828486131345,0.999948211789,0.0,0.0,0.002376412356096398,3.4011827720186956
9,14,28,27.9769176,28.0,0.0001,25.72990900214694,18.630829644817208,27.16292992062658,9.757242783109325e-05,128.4367567,5965830.172256921,82279.80111977339,0.022865094565530132,0.009477358395289761,8.999533906101002,0,0.0,0.03234245296081989,61.92471528183534,6048171.8980919765,1.0238583877116787e-05,0.0,1.0238583877116787e-05,13.9769176,13.9769176,10000000,0.173,407863.68113868736,3,0.01,10,0.13999999999999999,0.33178551359999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13934991571199998,0.9999896202086335,1,0.002307,13763.170307396716,0.25729641931059616,0.0025729909002146943,0.999948211789,0.0,0.0,0.002716292992062658,3.585423434393098
